flow_duration,packet_count,bytes_total,avg_pkt_size,std_pkt_size,max_pkt_size,min_pkt_size,packets_per_sec,bytes_per_sec,traffic_category
90.427,604,782516,1295.56,111.52,1480,1101,6.68,8653.61,Video
11.913,335,433217,1293.19,111.08,1479,1100,28.12,36364.73,Video
45.916,1292,1874556,1450.89,28.94,1500,1400,28.14,40826.06,FileTransfer
11.207,78,58222,756.13,530.21,1452,67,6.96,5194.94,Web
25.868,933,1207644,1294.37,110.02,1480,1100,36.07,46685.54,Video
19.784,872,1127975,1293.55,110.94,1480,1100,44.07,57013.09,Video
102.067,1058,1360497,1285.91,108.21,1480,1100,10.37,13329.39,Video
5.524,90,66402,737.8,514.89,1460,68,16.29,12021.38,Web
19.221,50,4718,94.36,18.48,128,66,2.6,245.46,ICMP
11.65,532,683845,1285.42,111.68,1480,1101,45.66,58698.38,Video
4.28,42,30131,734.9,501.92,1379,67,9.81,7040.31,Web
99.445,423,544678,1287.65,107.71,1479,1101,4.25,5477.2,Video
12.159,14,1355,96.79,22.94,128,65,1.15,111.44,ICMP
60.957,1294,1875512,1449.39,29.19,1500,1400,21.23,30767.71,FileTransfer
77.397,940,1363738,1450.79,28.67,1500,1400,12.15,17620.12,FileTransfer
74.774,2218,3215434,1449.7,29.36,1500,1400,29.66,43002.32,FileTransfer
96.376,691,892698,1291.89,110.07,1480,1100,7.17,9262.64,Video
11.031,36,3553,98.69,17.73,128,65,3.26,322.08,ICMP
14.881,82,58076,716.99,494.34,1429,66,5.51,3902.8,Web
27.43,1117,1620199,1450.49,29.01,1500,1400,40.72,59065.82,FileTransfer
1.989,107,79799,752.82,520.82,1447,65,53.81,40129.88,Web
18.476,539,781776,1450.42,28.79,1500,1400,29.17,42313.16,FileTransfer
6.942,77,57316,754.16,516.83,1454,65,11.09,8256.53,Web
4.577,28,20009,741.07,517.42,1450,76,6.12,4371.72,Web
32.62,640,127595,199.37,34.06,260,140,19.62,3911.59,VoIP
5.267,32,3051,95.34,17.78,123,64,6.08,579.25,ICMP
15.44,33,3133,94.94,19.16,125,64,2.14,202.91,ICMP
20.159,1787,2591223,1450.04,29.37,1500,1400,88.64,128536.73,FileTransfer
20.244,1419,1827696,1288.02,108.12,1480,1100,70.09,90282.2,Video
59.821,315,457080,1451.05,28.46,1500,1400,5.27,7640.79,FileTransfer
108.5,804,1040536,1294.2,110.77,1480,1100,7.41,9590.18,Video
44.951,1622,2350637,1449.22,29.33,1500,1400,36.08,52293.35,FileTransfer
97.668,252,324232,1286.63,106.62,1479,1101,2.58,3319.75,Video
7.456,76,53491,713.21,503.5,1427,70,10.19,7174.3,Web
11.505,27,18848,724.92,504.78,1459,77,2.35,1638.28,Web
30.774,2985,4326782,1449.51,29.45,1500,1400,97.0,140597.36,FileTransfer
7.084,90,63189,702.1,488.7,1431,69,12.7,8919.55,Web
31.081,761,153094,201.17,35.0,260,140,24.48,4925.66,VoIP
50.009,1818,2633999,1448.84,29.25,1500,1400,36.35,52670.13,FileTransfer
37.753,540,107902,199.82,34.12,260,140,14.3,2858.12,VoIP
7.451,45,34427,765.04,533.6,1449,71,6.04,4620.56,Web
119.734,1173,1511884,1288.9,109.74,1480,1101,9.8,12627.07,Video
13.808,585,118372,202.35,35.28,260,140,42.37,8572.43,VoIP
8.022,47,4785,101.81,18.09,128,65,5.86,596.51,ICMP
48.568,646,130882,202.6,35.2,260,140,13.3,2694.83,VoIP
10.564,94,69335,745.54,521.7,1439,66,8.9,6563.46,Web
15.461,198,39726,200.64,33.95,260,141,12.81,2569.5,VoIP
49.949,259,51838,200.15,34.38,260,140,5.19,1037.81,VoIP
77.755,764,1108153,1450.46,29.16,1500,1400,9.83,14251.82,FileTransfer
6.116,975,1413413,1449.65,28.57,1500,1400,159.43,231118.03,FileTransfer
50.693,826,1069062,1294.26,109.18,1480,1100,16.29,21088.94,Video
3.715,42,32219,785.83,522.75,1443,83,11.31,8672.96,Web
117.143,845,1091502,1291.72,109.85,1480,1100,7.21,9317.72,Video
58.802,394,78164,198.39,34.74,260,140,6.7,1329.28,VoIP
71.102,723,1048602,1450.35,29.69,1500,1400,10.17,14747.88,FileTransfer
3.826,108,76877,718.48,499.64,1455,64,28.23,20092.14,Web
2.82,57,41870,747.68,517.59,1442,73,20.21,14847.38,Web
15.089,33,3102,94.0,20.58,128,65,2.19,205.58,ICMP
22.381,1454,1874040,1288.89,112.47,1480,1100,64.96,83732.2,Video
10.746,13,1275,98.08,11.98,119,80,1.21,118.65,ICMP
9.301,52,37823,741.63,504.12,1455,64,5.59,4066.51,Web
30.645,1195,1547297,1294.81,110.03,1480,1100,38.99,50490.42,Video
35.798,786,1014684,1290.95,108.79,1480,1100,21.96,28345.11,Video
5.491,99,73184,746.78,519.27,1457,71,18.03,13327.85,Web
18.764,535,106306,198.7,35.84,260,140,28.51,5665.31,VoIP
4.609,70,51914,741.63,519.91,1457,67,15.19,11262.96,Web
12.613,120,88116,734.3,520.82,1442,64,9.51,6985.97,Web
24.848,739,947881,1282.65,111.18,1480,1100,29.74,38147.29,Video
32.435,259,334906,1293.07,106.13,1479,1106,7.99,10325.6,Video
68.999,1652,2395884,1450.29,28.79,1500,1400,23.94,34723.63,FileTransfer
88.656,1147,1663074,1449.93,28.95,1500,1400,12.94,18758.65,FileTransfer
70.149,531,689899,1299.24,111.62,1480,1100,7.57,9834.79,Video
3.376,47,34052,740.26,509.03,1425,65,13.92,10087.09,Web
47.876,238,47242,198.5,34.88,260,140,4.97,986.76,VoIP
54.616,165,33142,200.86,36.08,260,142,3.02,606.82,VoIP
12.503,44,4139,94.07,18.91,127,65,3.52,331.04,ICMP
62.244,2482,3598659,1449.9,29.32,1500,1400,39.88,57815.35,FileTransfer
36.36,1477,1915475,1296.87,108.83,1480,1100,40.62,52681.25,Video
4.885,71,50861,726.59,514.22,1455,71,14.53,10411.04,Web
14.059,108,78318,731.94,516.38,1451,65,7.68,5570.61,Web
4.125,19,12896,716.44,492.02,1338,71,4.61,3126.05,Web
23.121,1031,1494674,1449.73,28.56,1500,1400,44.59,64645.1,FileTransfer
6.668,90,65988,733.2,502.25,1451,71,13.5,9896.16,Web
46.859,1370,1767786,1290.35,110.82,1480,1100,29.24,37726.02,Video
6.871,395,573034,1450.72,29.48,1500,1400,57.48,83393.59,FileTransfer
2.495,38,25257,682.62,491.71,1432,66,15.23,10123.14,Web
68.729,1012,1468333,1450.92,29.13,1500,1400,14.72,21364.14,FileTransfer
7.125,21,14384,719.2,500.28,1450,85,2.95,2018.84,Web
37.488,2628,3813639,1451.16,29.19,1500,1400,70.1,101728.77,FileTransfer
26.302,1920,2783314,1449.64,29.79,1500,1400,73.0,105819.64,FileTransfer
25.26,547,108218,197.84,34.18,260,140,21.66,4284.25,VoIP
51.88,600,777675,1296.12,111.95,1480,1100,11.57,14989.78,Video
10.007,45,4395,97.67,18.55,128,65,4.5,439.19,ICMP
33.34,1175,1517890,1291.82,111.88,1480,1100,35.24,45526.99,Video
15.374,37,3614,97.68,18.73,127,69,2.41,235.07,ICMP
8.525,47,32379,703.89,476.3,1362,70,5.51,3798.28,Web
23.137,2903,4212109,1450.95,29.04,1500,1400,125.47,182049.58,FileTransfer
67.897,473,686047,1450.42,30.05,1500,1400,6.97,10104.3,FileTransfer
24.278,2771,4017810,1449.95,29.74,1500,1400,114.14,165494.26,FileTransfer
47.637,737,1069523,1451.18,29.42,1500,1400,15.47,22451.6,FileTransfer
4.805,64,46681,740.97,503.52,1452,67,13.32,9716.1,Web
18.672,25,2392,95.68,18.22,126,65,1.34,128.1,ICMP
18.924,262,339095,1294.26,108.59,1478,1100,13.84,17918.88,Video
7.641,33,23861,745.66,518.61,1401,67,4.32,3122.81,Web
27.398,219,283896,1296.33,104.26,1478,1101,7.99,10361.98,Video
82.118,2636,3819821,1449.1,29.22,1500,1400,32.1,46516.22,FileTransfer
24.137,1156,1675816,1449.67,28.71,1500,1400,47.89,69428.61,FileTransfer
1.188,18,1724,95.78,20.76,128,64,15.15,1450.61,ICMP
12.868,50,5020,100.4,17.56,128,68,3.89,390.12,ICMP
102.391,444,567790,1278.81,105.47,1480,1103,4.34,5545.31,Video
13.368,24,2213,92.21,18.03,127,64,1.8,165.55,ICMP
13.414,20,1808,90.4,16.75,123,65,1.49,134.78,ICMP
8.884,28,19530,723.33,526.04,1459,72,3.15,2198.3,Web
54.517,438,87198,199.08,33.86,260,140,8.03,1599.46,VoIP
10.587,109,83707,775.06,546.45,1452,67,10.3,7906.8,Web
87.293,1491,1923250,1289.91,112.05,1480,1100,17.08,22032.12,Video
80.524,2644,3838351,1451.72,29.43,1500,1400,32.83,47667.22,FileTransfer
48.616,912,1321485,1449.0,29.17,1500,1400,18.76,27181.93,FileTransfer
20.703,1119,1621640,1449.19,28.8,1500,1400,54.05,78327.72,FileTransfer
11.666,2532,3669621,1449.3,29.74,1500,1400,217.03,314543.78,FileTransfer
67.268,2118,3069242,1449.12,29.06,1500,1400,31.49,45626.99,FileTransfer
66.393,2034,2949602,1450.15,28.92,1500,1400,30.64,44426.08,FileTransfer
52.331,1473,2135882,1450.02,29.12,1500,1400,28.15,40814.96,FileTransfer
13.883,670,864396,1290.14,107.57,1480,1100,48.26,62262.67,Video
88.636,474,687917,1451.3,28.95,1500,1400,5.35,7761.17,FileTransfer
87.442,2574,3733738,1450.56,29.09,1500,1400,29.44,42699.38,FileTransfer
23.812,655,950298,1450.84,29.72,1500,1400,27.51,39908.0,FileTransfer
16.676,46,4403,95.72,17.93,128,66,2.76,264.03,ICMP
11.185,45,32488,721.96,527.13,1454,64,4.02,2904.62,Web
87.819,534,685898,1284.45,107.02,1480,1100,6.08,7810.33,Video
12.889,20,1952,97.6,21.36,128,64,1.55,151.45,ICMP
78.3,1030,1327833,1289.16,107.51,1480,1101,13.15,16958.23,Video
16.744,47,4637,98.66,17.73,128,64,2.81,276.94,ICMP
85.348,362,524799,1449.72,30.15,1500,1400,4.24,6148.9,FileTransfer
14.217,91,67046,744.96,522.88,1446,65,6.4,4715.8,Web
27.433,161,32211,200.07,35.68,260,140,5.87,1174.16,VoIP
9.93,47,4263,90.7,16.9,127,64,4.73,429.31,ICMP
7.612,38,27832,752.22,523.18,1430,73,4.99,3656.1,Web
38.612,1753,2539238,1448.51,29.3,1500,1400,45.4,65763.53,FileTransfer
6.204,25,2278,91.12,19.37,125,65,4.03,367.17,ICMP
10.358,635,826546,1301.65,110.12,1480,1100,61.31,79798.57,Video
57.892,534,106460,199.36,35.01,260,140,9.22,1838.96,VoIP
54.72,102,20109,197.15,38.38,260,140,1.86,367.49,VoIP
69.274,446,647096,1450.89,29.53,1500,1400,6.44,9341.15,FileTransfer
1.833,66,48271,742.63,515.98,1442,69,36.01,26333.55,Web
8.503,30,3013,100.43,17.45,128,64,3.53,354.36,ICMP
44.904,1404,1806223,1286.48,110.27,1480,1100,31.27,40224.17,Video
13.96,1460,1885806,1291.65,109.26,1480,1100,104.58,135084.08,Video
57.071,2255,3270020,1450.12,28.88,1500,1400,39.51,57297.73,FileTransfer
80.56,1193,1542725,1293.15,110.02,1480,1100,14.81,19150.01,Video
73.157,1307,1684995,1289.21,109.9,1480,1100,17.87,23032.66,Video
12.612,27,18473,710.5,482.42,1370,78,2.14,1464.68,Web
108.217,240,307211,1280.05,107.89,1479,1100,2.22,2838.85,Video
48.206,328,65005,198.19,37.76,260,140,6.8,1348.48,VoIP
16.787,281,55310,196.83,33.4,260,142,16.74,3294.78,VoIP
115.169,797,1022116,1282.45,108.27,1480,1100,6.92,8874.92,Video
119.024,999,1289468,1290.76,111.86,1480,1100,8.39,10833.68,Video
9.925,29,2874,99.1,18.38,127,64,2.92,289.58,ICMP
33.989,723,933847,1291.63,111.7,1480,1100,21.27,27475.27,Video
33.577,857,1102690,1286.69,108.2,1480,1100,25.52,32840.89,Video
49.022,1437,2082921,1449.49,28.91,1500,1400,29.31,42489.56,FileTransfer
111.944,462,599318,1297.23,111.41,1480,1104,4.13,5353.72,Video
36.703,377,75110,199.23,34.08,260,140,10.27,2046.41,VoIP
9.63,900,1304824,1449.8,29.44,1500,1400,93.46,135499.92,FileTransfer
5.135,962,1395061,1450.17,29.68,1500,1400,187.35,271694.6,FileTransfer
115.828,846,1087494,1285.45,108.9,1479,1100,7.3,9388.85,Video
6.833,38,3528,92.84,18.62,128,68,5.56,516.33,ICMP
8.994,21,15947,797.35,575.46,1453,68,2.33,1773.05,Web
13.864,116,23020,198.45,35.9,260,140,8.37,1660.39,VoIP
8.86,164,32633,198.98,32.76,260,143,18.51,3683.25,VoIP
12.03,26,2525,97.12,16.08,126,64,2.16,209.89,ICMP
7.406,19,13237,735.39,492.06,1453,91,2.57,1787.38,Web
5.349,54,38379,724.13,494.53,1440,68,10.1,7174.81,Web
53.004,952,1226539,1288.38,107.91,1480,1100,17.96,23140.36,Video
8.454,66,45665,702.54,492.61,1405,64,7.81,5401.63,Web
46.31,679,876615,1291.04,111.78,1480,1100,14.66,18929.27,Video
14.672,41,4070,99.27,19.12,125,64,2.79,277.39,ICMP
39.407,1455,1882145,1293.57,110.97,1480,1100,36.92,47761.92,Video
10.165,72,53627,755.31,526.66,1459,64,7.08,5275.68,Web
33.813,629,124691,198.24,35.19,260,140,18.6,3687.69,VoIP
6.768,47,33404,726.17,517.29,1458,68,6.94,4935.91,Web
37.58,688,136433,198.3,35.18,260,140,18.31,3630.48,VoIP
19.347,46,4406,95.78,19.14,128,64,2.38,227.73,ICMP
16.205,22,2192,99.64,21.01,128,64,1.36,135.27,ICMP
11.829,78,58586,760.86,531.49,1453,75,6.59,4952.8,Web
51.785,641,127721,199.25,34.5,260,140,12.38,2466.35,VoIP
44.712,408,81174,198.96,35.94,260,140,9.13,1815.48,VoIP
16.145,2136,3098377,1450.55,28.79,1500,1400,132.3,191905.34,FileTransfer
53.683,301,59926,199.09,35.38,260,140,5.61,1116.3,VoIP
7.945,16,10326,688.4,485.75,1384,72,2.01,1299.62,Web
11.786,11,1085,98.64,23.43,125,65,0.93,92.06,ICMP
52.099,2625,3808439,1450.83,29.63,1500,1400,50.38,73099.39,FileTransfer
29.901,256,50764,198.3,34.63,260,140,8.56,1697.73,VoIP
38.708,258,51260,198.68,33.72,260,140,6.67,1324.27,VoIP
21.953,783,156633,200.04,35.08,260,140,35.67,7134.82,VoIP
3.176,18,1892,105.11,16.14,127,72,5.67,595.64,ICMP
10.541,1911,2770649,1449.84,29.5,1500,1400,181.29,262847.17,FileTransfer
7.352,327,65727,201.0,35.06,260,140,44.48,8940.09,VoIP
7.921,26,18167,726.68,519.02,1426,77,3.28,2293.42,Web
53.966,243,48042,197.7,32.78,259,140,4.5,890.22,VoIP
9.68,696,140414,201.74,34.83,260,140,71.9,14505.3,VoIP
10.303,49,4738,96.69,18.29,127,64,4.76,459.86,ICMP
38.32,1736,2517594,1450.23,29.39,1500,1400,45.3,65699.69,FileTransfer
21.422,443,89104,201.14,35.51,260,140,20.68,4159.37,VoIP
56.632,463,598359,1292.35,108.92,1477,1101,8.18,10565.72,Video
84.849,1360,1752134,1288.33,108.89,1480,1100,16.03,20649.95,Video
15.847,185,37382,202.06,36.81,260,140,11.67,2358.89,VoIP
3.029,89,64416,732.0,515.72,1458,73,29.38,21266.35,Web
10.598,114,80314,710.74,491.84,1454,66,10.76,7578.23,Web
5.543,30,3149,104.97,16.79,128,70,5.41,568.09,ICMP
3.068,27,2509,92.93,19.38,124,64,8.8,817.77,ICMP
52.164,236,47182,199.92,33.52,260,140,4.52,904.5,VoIP
35.49,1622,2352731,1450.51,29.17,1500,1400,45.7,66292.94,FileTransfer
32.773,245,48440,197.71,34.44,260,140,7.48,1478.06,VoIP
10.128,50,37269,745.38,520.76,1439,65,4.94,3679.91,Web
21.555,1413,2050029,1450.83,29.95,1500,1400,65.55,95104.69,FileTransfer
69.457,805,1166617,1449.21,29.19,1500,1400,11.59,16796.25,FileTransfer
28.606,640,830683,1297.94,106.72,1480,1100,22.37,29039.2,Video
29.441,796,158146,198.68,35.19,260,140,27.04,5371.56,VoIP
10.213,1683,2437692,1448.42,28.61,1500,1400,164.8,238692.78,FileTransfer
10.762,32,3122,97.56,20.41,128,66,2.97,290.1,ICMP
76.623,834,1075021,1288.99,115.02,1480,1100,10.88,14030.02,Video
2.254,8,735,91.88,15.68,118,74,3.55,326.07,ICMP
21.762,1295,1671619,1290.83,109.32,1480,1100,59.51,76814.2,Video
99.068,1412,1817744,1287.35,108.83,1480,1100,14.25,18348.51,Video
11.475,54,40310,760.57,534.36,1458,65,4.71,3512.93,Web
3.054,50,4832,96.64,19.76,128,64,16.37,1582.16,ICMP
16.996,34,3377,99.32,15.25,127,69,2.0,198.69,ICMP
100.815,528,680738,1289.28,109.44,1479,1100,5.24,6752.37,Video
37.233,1848,2680665,1450.58,29.15,1500,1400,49.63,71996.8,FileTransfer
65.199,1250,1612720,1290.18,111.52,1480,1100,19.17,24735.37,Video
21.315,221,43358,196.19,34.89,260,140,10.37,2034.16,VoIP
18.535,682,137216,201.2,34.62,260,141,36.79,7402.95,VoIP
12.192,6,612,102.0,12.62,119,87,0.49,50.2,ICMP
43.588,140,27753,198.24,33.6,260,140,3.21,636.71,VoIP
14.504,544,704318,1294.7,106.44,1480,1100,37.51,48558.78,Video
6.956,102,76685,759.26,532.26,1439,67,14.66,11024.17,Web
81.885,1398,1804866,1291.03,108.52,1480,1101,17.07,22041.48,Video
